Context,Question,Correct Answer,Option 1,Option 2,Option 3,Option 4,Answer Key
"1- دون إخلال بأحكام الفصل (الرابع عشر) من النظام، يترتب على قيد طلب افتتاح إجراء التصفية، أو حكم المحكمة بافتتاحه، تعليق المطالبات وذلك حتى تاريخ حكم المحكمة برفض طلب الافتتاح أو حكمها بإنهاء الإجراء.  2- يقع باطلاً كل تصرف يخالف حكم الفقرة (1) من هذه المادة، وللمحكمة من تلقاء نفسها أو بناء على طلب ذي مصلحة أن تقضي باسترداد أي أصل جرى التصرف فيه خلال مدة تعليق المطالبات أو بما تراه مناسباً، وذلك مع مراعاة حقوق الغير (حسن النية)، وللمتضرر أن يتقدم بدعوى التعويض.  3- استثناء من حكم الفقرة (1) من هذه المادة، تأذن المحكمة -بناء على طلب مقدم من الدائن المضمون- بالتنفيذ على أي من أصول التفليسة الضامنة لدين المدين.  4- تنظر المحكمة -خلال مدة تعليق المطالبات- في طلب الدائن الذي وجد عين ماله عند المدين، وذلك وفقاً لما تحدده اللائحة.  5- استثناء من حكم الفقرة (1) من هذه المادة، للمحكمة -بناء على طلب ذي مصلحة- وقف سريان تعليق المطالبات عن مطالبات محددة اتخذ بشأنها إجراء قبل سريان التعليق إذا ثبت لديها أن في ذلك مصلحة للمدين وأغلبية الدائنين.",ما هي الحالات التي يمكن فيها للمحكمة أن توقف سريان تعليق المطالبات عن مطالبات محددة؟,إذا كانت هناك مصلحة للمدين وأغلبية الدائنين.,إذا كان الدائنون يرغبون في استئناف الإجراءات القضائية.,إذا كان المدين قد تقدم بطلب لإنهاء الإجراءات.,إذا كان المدين قادراً على سداد جميع ديونه.,إذا كانت هناك مصلحة للمدين وأغلبية الدائنين.,3
"يجب أن يشتمل الحكم الصادر في الدعوى التأديبية على الأسباب التي بني عليها، وأن تتلى أسبابه عند النطق به في جلسة سرية ويكون الحكم غير قابل للطعن.",ما هي الشروط التي يجب أن يشتمل عليها الحكم الصادر في الدعوى التأديبية؟,يجب أن يشتمل على الأسباب التي بني عليها وأن تتلى أسبابه عند النطق به في جلسة سرية,يجب أن يشتمل على الأسباب التي بني عليها فقط,يجب أن يشتمل على الأسباب التي بني عليها وأن تتلى أسبابه عند النطق به في جلسة سرية,يجب أن يتم النطق به في جلسة علنية,يجب أن يكون قابل للطعن,1
"يجب أن يشتمل الحكم الصادر في الدعوى التأديبية على الأسباب التي بني عليها، وأن تتلى أسبابه عند النطق به في جلسة سرية ويكون الحكم غير قابل للطعن.",هل يمكن الطعن في الحكم الصادر في الدعوى التأديبية؟,"لا، الحكم غير قابل للطعن","نعم، يمكن الطعن في الحكم",يمكن الطعن في الحكم فقط إذا كان قد تم النطق به في جلسة علنية,يمكن الطعن في الحكم فقط إذا كان قد تم النطق به في جلسة سرية,"لا، الحكم غير قابل للطعن",3
إذا تغيَّب المتظلم عن حضور أي جلسة لنظر التظلم؛ فتطبق أحكام المادة الحادية والثلاثين من النظام.,ما هي الأحكام التي تطبق في حالة تغيب المتظلم عن حضور أي جلسة لنظر التظلم؟,أحكام المادة الحادية والثلاثين من النظام,أحكام المادة الحادية والثلاثين من النظام,أحكام المادة الثلاثين من النظام,أحكام المادة الأولى من النظام,أحكام المادة الثانية والثلاثين من النظام,0
إذا تغيَّب المتظلم عن حضور أي جلسة لنظر التظلم؛ فتطبق أحكام المادة الحادية والثلاثين من النظام.,ماذا يحدث إذا تغيب المتظلم عن حضور جلسة لنظر التظلم؟,يتم تطبيق أحكام المادة الحادية والثلاثين من النظام,يتم تأجيل الجلسة حتى حضور المتظلم,يتم تطبيق أحكام المادة الحادية والثلاثين من النظام,يتم تجاهل غياب المتظلم ومتابعة الجلسة,يتم إلغاء الجلسة وإعادة جدولتها,1
تتحقق المحكمة من عبء الإثبات وفق القواعد المقررة قبل إجراء الإثبات.,من يتحقق المحكمة منه قبل إجراء الإثبات؟,عبء الإثبات,الأدلة الفورنسية,عبء الإثبات,الشهود,الدليل الجنائي,1
تتحقق المحكمة من عبء الإثبات وفق القواعد المقررة قبل إجراء الإثبات.,متى تتحقق المحكمة من عبء الإثبات؟,قبل إجراء الإثبات,بعد إجراء الإثبات,أثناء إجراء الإثبات,قبل إجراء الإثبات,لا تتحقق المحكمة من عبء الإثبات,2
الخصم المستجوب في هذه المادة يشمل كل خصم في القضية.,من يشمله الخصم المستجوب في المادة المذكورة؟,كل خصم في القضية,الخصم الثانوي فقط,الخصم الرئيسي فقط,الخصم الذي يقدم الدعوى فقط,كل خصم في القضية,3
الخصم المستجوب في هذه المادة يشمل كل خصم في القضية.,هل يشمل الخصم المستجوب في المادة المذكورة الخصم الذي يقدم الدعوى؟,نعم,فقط إذا كان الخصم الذي يقدم الدعوى هو الخصم الرئيسي,نعم,لا,فقط إذا كان الخصم الذي يقدم الدعوى هو الخصم الثانوي,1
"إذا ثبت أن الشاهد أدلى بأقوال يعلم أنها غير صحيحة، فيعزر على جريمة شهادة الزور.",ماذا يحدث إذا ثبت أن الشاهد أدلى بأقوال يعلم أنها غير صحيحة؟,يعزر على جريمة شهادة الزور,يعزر على جريمة شهادة الزور,يتم تجاهل أقواله بدون أي عقوبة,يتم تعيينه كشاهد في قضايا أخرى,يتم تكريمه من قبل المحكمة,0
"إذا ثبت أن الشاهد أدلى بأقوال يعلم أنها غير صحيحة، فيعزر على جريمة شهادة الزور.",ما هي الجريمة التي يمكن أن يعزر عليها الشاهد إذا أدلى بأقوال غير صحيحة؟,جريمة شهادة الزور,جريمة شهادة الزور,جريمة الاحتيال,جريمة القتل,جريمة السرقة,0
"1- يعد الموظف المختص تقريرًا بالمخالفة وفق النموذج المعتمد، يتضمن: بيانات المخالف، ووصف المخالفة، وتاريخ الواقعة، والأدلة والقرائن ذات الصلة، والتوصية بالإحالة إلى التحقيق أو الحفظ.  2- تقرر الإدارة المختصة إحالة المرخص له إلى التحقيق، أو الحفظ في حال عدم الوقوف على مخالفة تستوجب الإحالة إلى التحقيق.",ماذا يتضمن التقرير الذي يعده الموظف المختص بالمخالفة؟,"بيانات المخالف، ووصف المخالفة، وتاريخ الواقعة، والأدلة والقرائن ذات الصلة، والتوصية بالإحالة إلى التحقيق أو الحفظ.","بيانات المخالف، ووصف المخالفة، وتاريخ الواقعة فقط.","بيانات المخالف، ووصف المخالفة، وتاريخ الواقعة، والأدلة والقرائن ذات الصلة، والتوصية بالإحالة إلى التحقيق أو الحفظ.",بيانات المخالف فقط.,"بيانات المخالف، ووصف المخالفة، وتاريخ الواقعة، والأدلة والقرائن ذات الصلة فقط.",1
"1- يعد الموظف المختص تقريرًا بالمخالفة وفق النموذج المعتمد، يتضمن: بيانات المخالف، ووصف المخالفة، وتاريخ الواقعة، والأدلة والقرائن ذات الصلة، والتوصية بالإحالة إلى التحقيق أو الحفظ.  2- تقرر الإدارة المختصة إحالة المرخص له إلى التحقيق، أو الحفظ في حال عدم الوقوف على مخالفة تستوجب الإحالة إلى التحقيق.",ماذا تقرر الإدارة المختصة في حال عدم الوقوف على مخالفة تستوجب الإحالة إلى التحقيق؟,الحفظ.,الحفظ.,الإحالة إلى الشرطة.,الإحالة إلى المحكمة.,الإحالة إلى التحقيق.,0
"يجب أن يخطر المدعي المدعى عليه وفق أحكام الفقرة ( ١ ) من المادة التاسعة عشرة من النظام في جميع الدعاوى التي تختص بنظرها المحكمة، فيما عدا الآتي:  ١- الدعاوى المتصلة بالعقوبات المنصوص عليها في الأنظمة التجارية.  ٢- الدعاوى التي تكون جهة الإدارة طرفاً فيها.  ٣- الدعاوى المحددة إجراءات رفعها بموجب نصوص نظامية خاصة.  ٤- الدعاوى اليسيرة.  ٥- الطلبات المستعجلة.",ما هي الدعاوى التي يجب أن يخطر فيها المدعي المدعى عليه وفق أحكام الفقرة ( ١ ) من المادة التاسعة عشرة من النظام؟,"جميع الدعاوى التي تختص بنظرها المحكمة، فيما عدا الدعاوى المتصلة بالعقوبات المنصوص عليها في الأنظمة التجارية، الدعاوى التي تكون جهة الإدارة طرفاً فيها، الدعاوى المحددة إجراءات رفعها بموجب نصوص نظامية خاصة، الدعاوى اليسيرة، الطلبات المستعجلة.","جميع الدعاوى التي تختص بنظرها المحكمة، بما في ذلك الدعاوى المتصلة بالعقوبات المنصوص عليها في الأنظمة التجارية، الدعاوى التي تكون جهة الإدارة طرفاً فيها، الدعاوى المحددة إجراءات رفعها بموجب نصوص نظامية خاصة، الدعاوى اليسيرة، الطلبات المستعجلة.",فقط الدعاوى المتصلة بالعقوبات المنصوص عليها في الأنظمة التجارية.,"جميع الدعاوى التي تختص بنظرها المحكمة، فيما عدا الدعاوى المتصلة بالعقوبات المنصوص عليها في الأنظمة التجارية، الدعاوى التي تكون جهة الإدارة طرفاً فيها، الدعاوى المحددة إجراءات رفعها بموجب نصوص نظامية خاصة، الدعاوى اليسيرة، الطلبات المستعجلة.",فقط الدعاوى التي تكون جهة الإدارة طرفاً فيها.,2
"يجب أن يخطر المدعي المدعى عليه وفق أحكام الفقرة ( ١ ) من المادة التاسعة عشرة من النظام في جميع الدعاوى التي تختص بنظرها المحكمة، فيما عدا الآتي:  ١- الدعاوى المتصلة بالعقوبات المنصوص عليها في الأنظمة التجارية.  ٢- الدعاوى التي تكون جهة الإدارة طرفاً فيها.  ٣- الدعاوى المحددة إجراءات رفعها بموجب نصوص نظامية خاصة.  ٤- الدعاوى اليسيرة.  ٥- الطلبات المستعجلة.",ما هي الدعاوى التي لا يتعين على المدعي إخطار المدعى عليه بها وفقاً للمادة التاسعة عشرة من النظام؟,"الدعاوى المتصلة بالعقوبات المنصوص عليها في الأنظمة التجارية، الدعاوى التي تكون جهة الإدارة طرفاً فيها، الدعاوى المحددة إجراءات رفعها بموجب نصوص نظامية خاصة، الدعاوى اليسيرة، الطلبات المستعجلة.","الدعاوى المتصلة بالعقوبات المنصوص عليها في الأنظمة التجارية، الدعاوى التي تكون جهة الإدارة طرفاً فيها، الدعاوى المحددة إجراءات رفعها بموجب نصوص نظامية خاصة، الدعاوى اليسيرة، الطلبات المستعجلة.",فقط الدعاوى المتصلة بالعقوبات المنصوص عليها في الأنظمة التجارية.,فقط الدعاوى التي تكون جهة الإدارة طرفاً فيها.,جميع الدعاوى التي تختص بنظرها المحكمة.,0
"يجب على الزوج أن يوثق الطلاق أمام الجهة المختصة -وفق الإجراءات المنظمة لذلك- وذلك خلال مدة أقصاها (خمسة عشر) يوماً من حين البينونة، ولا يخل ذلك بحق الزوجة في إقامة دعوى إثبات الطلاق.",ما هو الأجل الذي يجب على الزوج أن يوثق فيه الطلاق أمام الجهة المختصة؟,خمسة عشر يوماً من حين البينونة,خمسة عشر يوماً من حين البينونة,عشرين يوماً من حين البينونة,عشرة أيام من حين البينونة,ثلاثين يوماً من حين البينونة,0
"يجب على الزوج أن يوثق الطلاق أمام الجهة المختصة -وفق الإجراءات المنظمة لذلك- وذلك خلال مدة أقصاها (خمسة عشر) يوماً من حين البينونة، ولا يخل ذلك بحق الزوجة في إقامة دعوى إثبات الطلاق.",هل يحق للزوجة إقامة دعوى إثبات الطلاق؟,"نعم، يحق للزوجة إقامة دعوى إثبات الطلاق","نعم، يحق للزوجة إقامة دعوى إثبات الطلاق",يعتمد على الظروف,لا يمكن الإجابة على السؤال بناءً على المعلومات المتاحة,"لا، ليس للزوجة الحق في إقامة دعوى إثبات الطلاق",0
يعتمد الحساب الهجري في المدد الواردة في هذا النظام.,ما هو النظام الذي يعتمد في تحديد المدد الواردة في القانون؟,الحساب الهجري,الحساب الشمسي,الحساب الميلادي,الحساب القمري,الحساب الهجري,3
يعتمد الحساب الهجري في المدد الواردة في هذا النظام.,ما هو النظام الذي لا يعتمد في تحديد المدد الواردة في القانون؟,الحساب الميلادي,الحساب الهجري,الحساب الميلادي,الحساب الشمسي,الحساب القمري,1
"إذا علق الالتزام على أمر واقع عد الالتزام ناجزاً، وإذا علق على أمر مستحيل عد الشرط باطلاً، ويبطل الالتزام الذي علق عليه.",ماذا يحدث إذا علق الالتزام على أمر واقع؟,يعد الالتزام ناجزاً,يعد الالتزام مستحيلاً,يعد الالتزام باطلاً,يعد الالتزام ناجزاً,لا يتأثر الالتزام,2
"إذا علق الالتزام على أمر واقع عد الالتزام ناجزاً، وإذا علق على أمر مستحيل عد الشرط باطلاً، ويبطل الالتزام الذي علق عليه.",ماذا يحدث إذا علق الالتزام على أمر مستحيل؟,يعد الشرط باطلاً,يعد الشرط باطلاً,يعد الشرط مستحيلاً,يعد الشرط ناجزاً,لا يتأثر الشرط,0
"بالإضافة إلى المهام المحددة في الأنظمة ذات الصلة، والتعليمات السارية التي لا تتعارض مع هذه اللائحة، يتولى كُتّاب السجل الأعمال الآتية:  1- تَسَلُّم الصكوك والقرارات المحالة لغرض تسجيلها، وتوقيع ذلك في السجل الخاص بذلك.  2- تسجيل الصكوك، والقرارات –في السجل الخاص بكل منها –حرفياً بدون زيادة، أو نقص، أو تحريف، أو تغيير، وينقل كاتب السجل الشروحات التي تجرى في الصكوك والقرارات في سجلاتها، ويوقع سجل الصك وسجل القرار والشرح.  3- تقديم السجل –بعد تسجيل الصك أو القرار أو نقل الشرح في السجل –مباشرة لرئيس المحكمة، ودوائرها –بحسب الاختصاص –وذلك لتوقيع سجل الصك وسجل القرار والشرح المثبت في السجل، وختم السجل والشرح بالخاتم الذاتي. وتعاد الصكوك والقرارات –بعد ذلك –إلى الجهة التي وردت منها في السجل الخاص بذلك.  4- إخراج نسخ الصكوك المطابقة للأصل حال طلب ذلك، لفقد، أو تلف، أو غير ذلك بأمر رئيس المحكمة، أو الدائرة –بحسب الأحوال –وذلك بعد التأكد من استحقاق الطالب لها، أو أن له صفة في ذلك، أو مصلحة، وتوقع الدائرة النسخة المخرجة وتختمها، كما يوقعها كاتب السجل، ويصادق رئيس المحكمة بتوقيعه، وخاتمه على توقيع الدائرة وخاتمها، وتختم بالخاتم الرسمي.  5- ختم جميع صفحات السجل بالخاتم الرسمي، ويوقع رئيس المحكمة، والدائرة ما تم تحريره في مقدمة السجل مما يفيد افتتاح السجل، وإقفاله، كما يوقعه المشرف الإداري على مكتب الدائرة –إن وجد –وكاتب السجل، وأمين المحكمة أو مدير الإدارة –بحسب الأحوال–ويختمه رئيس المحكمة بخاتمه، كما تختمه الدائرة بخاتمها، ويختم بالخاتم الرسمي.  6- العناية بالسجلات، والمحافظة عليها من التمزق، أو التلف، وإبلاغ رئيس المحكمة أو الدائرة –حسب الأحوال– بالمخالفات والتجاوزات التي قد تطرأ على السجل، أو عند فقده،أو تعرضه لتمزق أيّ من صفحاته، أو تلفها، و على رئيس المحكمة اتخاذ الإجراءات النظامية في هذا الشأن.  7- الاحتفاظ بالسجلات، والمستندات المختلفة المستخدمة، والمنتهية، وأرشفتها، وتنظيمها وترتيبها ترتيباً حسب أرقامها وتواريخها، بحيث يسهل الرجوع إليها.  8- منع أيِّ أحد من الاطلاع على السجلات، أو تمكينه من الوصول إليها، وعدم إفشاء ما تضمنته السجلات إلى أحد.  9- عدم إخراج السجلات من المحكمة إلى خارجها لأي سبب كان، ويجوز إخراجها من قسم السجلات أو مكتب الدائرة إلى داخل المحكمة بأمر رئيس المحكمة أو الدائرة –بحسب الأحوال -.  10- التأكيد من سريان مفعول الصكوك التي ورد الاستفسار في شأنها من عدمه ومطابقتها لسجلاتها، وما ورد على سجلاتها من ملحوظات كنقص إجراء التوقيع والختم وغير ذلك، وتبليغ ذلك لجهة الاستفسار عن السريان وفق النموذج المعتمد في هذا الشأن.",ما هي الإجراءات التي يتبعها كاتب السجل في حالة فقد أو تلف الصكوك؟,"إخراج نسخ الصكوك المطابقة للأصل حال طلب ذلك، لفقد، أو تلف، أو غير ذلك بأمر رئيس المحكمة.",التأكيد من سريان مفعول الصكوك التي ورد الاستفسار في شأنها من عدمه ومطابقتها لسجلاتها.,"إخراج نسخ الصكوك المطابقة للأصل حال طلب ذلك، لفقد، أو تلف، أو غير ذلك بأمر رئيس المحكمة.",إعادة الصكوك والقرارات –بعد ذلك –إلى الجهة التي وردت منها في السجل الخاص بذلك.,"منع أيِّ أحد من الاطلاع على السجلات، أو تمكينه من الوصول إليها.",1
"في اليوم المعين لنظر الدعوى يحضر الخصوم بأنفسهم أو مَنْ ينوب عنهم، فإذا كان النائب وكيلاً تعين كونه ممن له حق التوكل حسب النظام.",ما هي الشروط المطلوبة للنائب الذي يحضر بدلاً عن الخصم؟,يجب أن يكون من له حق التوكل حسب النظام,يجب أن يكون من له حق التوكل حسب النظام,يجب أن يكون لديه خبرة قانونية,يجب أن يكون لديه تصريح خاص من القاضي,يجب أن يكون قريباً للخصم,0
"لا يتم قيد الأسماء في جدول المحامين غير الممارسين إلا بالنقل من جدول المحامين الممارسين، بمن في ذلك المحامون والمستشارون المنصوص عليهم في المادة (38) من النظام بعد قيد أسمائهم في جدول المحامين الممارسين.",من يتم قيدهم في جدول المحامين غير الممارسين؟,المحامون والمستشارون الذين تم نقلهم من جدول المحامين الممارسين,المحامون والمستشارون الذين تم نقلهم من جدول المحامين الممارسين,جميع المحامون والمستشارون بغض النظر عن قيدهم في جدول المحامين الممارسين,المحامون والمستشارون الذين لم يتم قيدهم في جدول المحامين الممارسين,المحامون والمستشارون الذين تم قيدهم في جدول المحامين الممارسين مباشرة,0
"لا يتم قيد الأسماء في جدول المحامين غير الممارسين إلا بالنقل من جدول المحامين الممارسين، بمن في ذلك المحامون والمستشارون المنصوص عليهم في المادة (38) من النظام بعد قيد أسمائهم في جدول المحامين الممارسين.",كيف يتم قيد الأسماء في جدول المحامين غير الممارسين؟,بالنقل من جدول المحامين الممارسين,بالتنقل من جدول المحامين الممارسين بدون الحاجة للتسجيل,بالترقية من جدول المحامين الممارسين,بالتسجيل المباشر في جدول المحامين غير الممارسين,بالنقل من جدول المحامين الممارسين,3
"إشارة إلى تعميم الوزارة رقم 13/ت/8487 في 22/9/1442هـ بشأن اعتماد ما يصدر من مستخرجات تنفيذية من شركات تسجيل العقود وهي (شهادة تنفيذ مالي, وشهادة استرداد أصل منقول). وبناءً على الدراسة المعدّة من الجهة المختصة, والمنتهية إلى أن (شهادة استرداد أصل ثابت) من المستخرجات التنفيذية التي تصدرها شركات تسجيل العقود. للاطلاع واعتماد موجبه. والله يحفظكم / ن",ما هي الشهادة التي تمت الإشارة إليها في الدراسة المعدة من الجهة المختصة؟,شهادة استرداد أصل ثابت,لم يتم الإشارة إلى أي شهادة في الدراسة,شهادة تنفيذ مالي,شهادة استرداد أصل ثابت,شهادة استرداد أصل منقول,2
"إذا لم يكن للمتهم مكان إقامة معروف فعليه أن يعين مكانًا يقبله المحقق، وإلا جاز للمحقق أن يصدر أمرًا بتوقيفه.",ماذا يجب على المتهم الذي ليس لديه مكان إقامة معروف أن يفعل؟,يجب عليه تعيين مكان يقبله المحقق,يجب عليه البحث عن مكان إقامة جديد,يجب عليه الاعتراف بالجريمة,يجب عليه تعيين مكان يقبله المحقق,يجب عليه الهروب من البلاد,2
"إذا لم يكن للمتهم مكان إقامة معروف فعليه أن يعين مكانًا يقبله المحقق، وإلا جاز للمحقق أن يصدر أمرًا بتوقيفه.",ماذا يمكن للمحقق أن يفعل إذا لم يعين المتهم مكانًا يقبله المحقق؟,يمكن للمحقق أن يصدر أمرًا بتوقيفه,يمكن للمحقق أن يصدر أمرًا بتوقيفه,يمكن للمحقق أن يتجاهل القضية,يمكن للمحقق أن يطلب من المتهم البحث عن مكان إقامة جديد,يمكن للمحقق أن يترك المتهم بدون متابعة,0
"كل تفريق بحكم قضائي يعد فسخاً، وتكون فرقة بائنة بينونة صغرى، ولا تحسب من التطليقات الثلاث.",ما هو التأثير القانوني للتفريق بحكم قضائي في القانون الأسري؟,يعد فسخاً,يعد فسخاً,يعد تطليقاً,يعد فسخاً وتطليقاً,لا يعد فسخاً أو تطليقاً,0
"كل تفريق بحكم قضائي يعد فسخاً، وتكون فرقة بائنة بينونة صغرى، ولا تحسب من التطليقات الثلاث.",هل يحسب التفريق بحكم قضائي من التطليقات الثلاث؟,لا يحسب من التطليقات الثلاث,يحسب من التطليقات الثلاث,يحسب من التطليقات الثلاث فقط في حالات معينة,لا يحسب من التطليقات الثلاث,القانون غير واضح بشأن هذا الموضوع,2
"توجه المحكمة التهمة إلى المتهم في الجلسة، وتتلى عليه لائحة الدعوى وتوضح له ويعطى صورة منها، ثم تسأله المحكمة الجواب عن ذلك.",ماذا تفعل المحكمة بالتهمة الموجهة إلى المتهم في الجلسة؟,تتلى عليه لائحة الدعوى وتوضح له ويعطى صورة منها,تتلى عليه لائحة الدعوى وتوضح له ويعطى صورة منها,تقوم بتوجيه التهمة فقط دون توضيح,تقوم بتوجيه التهمة وتتلى عليه لائحة الدعوى فقط,تقوم بتوجيه التهمة وتعطيه صورة منها فقط,0
"توجه المحكمة التهمة إلى المتهم في الجلسة، وتتلى عليه لائحة الدعوى وتوضح له ويعطى صورة منها، ثم تسأله المحكمة الجواب عن ذلك.",ماذا تسأل المحكمة المتهم بعد توجيه التهمة وتوضيحها؟,تسأله الجواب عن ذلك,تسأله عن رأيه في القضية,تسأله عن مدى قبوله للتهمة,تسأله الجواب عن ذلك,تسأله عن مدى فهمه للتهمة,2
"لا يكون الشخص مسؤولاً إذا ثبت أن الضرر قد نشأ عن سبب لا يد له فيه، كقوة قاهرة أو خطأ الغير أو خطأ المتضرر؛ ما لم يُتفق على خلاف ذلك.",متى لا يكون الشخص مسؤولاً عن الضرر الذي حدث؟,إذا ثبت أن الضرر قد نشأ عن سبب لا يد له فيه,إذا ثبت أن الضرر قد نشأ عن سبب لا يد له فيه,إذا كان الشخص قد أخطأ بنفسه,إذا كان الشخص قد أخطأ بسبب الغير,إذا كان الشخص قد أخطأ بسبب قوة قاهرة,0
"لا يكون الشخص مسؤولاً إذا ثبت أن الضرر قد نشأ عن سبب لا يد له فيه، كقوة قاهرة أو خطأ الغير أو خطأ المتضرر؛ ما لم يُتفق على خلاف ذلك.",ما هي الحالات التي يمكن أن يكون فيها الشخص غير مسؤول عن الضرر الذي حدث؟,قوة قاهرة أو خطأ الغير أو خطأ المتضرر,قوة قاهرة أو خطأ الغير أو خطأ المتضرر,قوة قاهرة أو خطأ الشخص نفسه أو خطأ الغير,خطأ الشخص نفسه أو خطأ الغير أو خطأ المتضرر,قوة قاهرة أو خطأ الشخص نفسه أو خطأ المتضرر,0
"تكون مدة التجربة للملازم القضائي سنتين، من تاريخ مباشرته العمل بعد صدور قرار من المجلس الأعلى للقضاء بتعيينه على هذه الوظيفة. فإن رئي خلال هذه المدة عدم صلاحيته للقضاء، يصدر المجلس الأعلى للقضاء قرارًا بالاستغناء عنه في السلك القضائي.  يكون من يعين من القضاة ابتداءً تحت التجربة لمدة عام، وإذا لم تثبت صلاحيته خلال هذه المدة تنهى خدمته بأمر ملكي.  يمنح من يعين لأول مرة في السلك القضائي بدلًا يعادل راتب ثلاثة أشهر.",ما هي مدة التجربة للملازم القضائي؟,سنتين,سنتين,ثلاث سنوات,أربع سنوات,سنة واحدة,0
"تكون مدة التجربة للملازم القضائي سنتين، من تاريخ مباشرته العمل بعد صدور قرار من المجلس الأعلى للقضاء بتعيينه على هذه الوظيفة. فإن رئي خلال هذه المدة عدم صلاحيته للقضاء، يصدر المجلس الأعلى للقضاء قرارًا بالاستغناء عنه في السلك القضائي.  يكون من يعين من القضاة ابتداءً تحت التجربة لمدة عام، وإذا لم تثبت صلاحيته خلال هذه المدة تنهى خدمته بأمر ملكي.  يمنح من يعين لأول مرة في السلك القضائي بدلًا يعادل راتب ثلاثة أشهر.",ماذا يحدث إذا لم يثبت القاضي صلاحيته خلال فترة التجربة؟,ينهى خدمته بأمر ملكي,يتم تعيينه في وظيفة أخرى,ينهى خدمته بأمر ملكي,يتم تمديد فترة التجربة,يتم ترقيته,1
- (...حث المدعين العامين على دراسة أوراق القضايا وتركيز الادعاء العام بحيث لا يبالغ فيها ولا يستهان في إظهار حجم الجريمة وما تمثله من مخاطر أمنية...إلخ.) /و . يطلب التعميم من الوزارة,ما هو الدور المطلوب من المدعين العامين في دراسة أوراق القضايا؟,تركيز الادعاء العام بحيث لا يبالغ فيها ولا يستهان في إظهار حجم الجريمة وما تمثله من مخاطر أمنية,البحث عن أدلة جديدة لدعم الادعاء العام,تجاهل الجرائم الصغيرة والتركيز فقط على الجرائم الكبيرة,تركيز الادعاء العام بحيث لا يبالغ فيها ولا يستهان في إظهار حجم الجريمة وما تمثله من مخاطر أمنية,التركيز فقط على الجرائم التي تمثل خطرا أمنيا,2
- (...حث المدعين العامين على دراسة أوراق القضايا وتركيز الادعاء العام بحيث لا يبالغ فيها ولا يستهان في إظهار حجم الجريمة وما تمثله من مخاطر أمنية...إلخ.) /و . يطلب التعميم من الوزارة,من يطلب التعميم في القضايا الجنائية؟,الوزارة,القاضي,الوزارة,المدعي العام,الشرطة,1
"يجب أن يتضمن الإخطار بيانات الأطراف، وموضوع النزاع، والطلبات، ومستند المطالبة.",ما الذي يجب أن يتضمنه الإخطار؟,"بيانات الأطراف، وموضوع النزاع، والطلبات، ومستند المطالبة",تاريخ الجلسة ومكانها,العقوبة المطلوبة,"بيانات الأطراف، وموضوع النزاع، والطلبات، ومستند المطالبة",الأدلة المستخدمة في القضية,2
"يجب أن يتضمن الإخطار بيانات الأطراف، وموضوع النزاع، والطلبات، ومستند المطالبة.",ما الذي لا يتضمنه الإخطار؟,الأدلة المستخدمة في القضية,الطلبات,الأدلة المستخدمة في القضية,موضوع النزاع,بيانات الأطراف,1
"المولودات في المملكة من أمهات سعوديات وأباء غير سعوديين تتم إجراءات توثيق زواجهن من السعوديين في المحاكم الشرعية في المملكة، بشرط ألا يكون السعودي راغب الزواج من الفئات المشمولة بالمنع المنصوص عليه في المادة الأولى.",من يقوم بإجراءات توثيق زواج السعوديين من المولودات في المملكة من أمهات سعوديات وأباء غير سعوديين؟,المحاكم الشرعية في المملكة,الجهات الحكومية الأخرى,القنصليات السعودية في الخارج,المحاكم الشرعية في المملكة,السفارات السعودية في الخارج,2
"المولودات في المملكة من أمهات سعوديات وأباء غير سعوديين تتم إجراءات توثيق زواجهن من السعوديين في المحاكم الشرعية في المملكة، بشرط ألا يكون السعودي راغب الزواج من الفئات المشمولة بالمنع المنصوص عليه في المادة الأولى.",ما هو الشرط الذي يجب توافره لزواج السعودي من المولودة في المملكة من أم سعودية وأب غير سعودي؟,ألا يكون السعودي راغب الزواج من الفئات المشمولة بالمنع المنصوص عليه في المادة الأولى,أن يكون السعودي متزوجاً بالفعل من سعودية,أن يكون السعودي لديه أطفال من زواج سابق,ألا يكون السعودي راغب الزواج من الفئات المشمولة بالمنع المنصوص عليه في المادة الأولى,أن يكون السعودي يعمل في الخارج,2
